nohup: ignoring input
Número de GPUs detectadas: 2
GPU 1: NVIDIA GeForce RTX 2080 Ti com 10.75 GB de memória
GPU 2: NVIDIA GeForce RTX 2080 Ti com 10.75 GB de memória

Fold 1/5
Fold 1 | Época 1/1000 | Treino: 0.0844 | Val: 0.0683 | Acurácia: 55.87% | AUC: 0.8457 | F1: 0.6507
Fold 1 | Época 2/1000 | Treino: 0.0735 | Val: 0.1065 | Acurácia: 42.79% | AUC: 0.8386 | F1: 0.5945
Fold 1 | Época 3/1000 | Treino: 0.0696 | Val: 0.0730 | Acurácia: 79.03% | AUC: 0.8661 | F1: 0.7444
Fold 1 | Época 4/1000 | Treino: 0.0639 | Val: 0.0722 | Acurácia: 61.74% | AUC: 0.8714 | F1: 0.6789
Fold 1 | Época 5/1000 | Treino: 0.0606 | Val: 0.0586 | Acurácia: 80.70% | AUC: 0.8909 | F1: 0.7858
Fold 1 | Época 6/1000 | Treino: 0.0592 | Val: 0.0654 | Acurácia: 80.54% | AUC: 0.8957 | F1: 0.7689
Fold 1 | Época 7/1000 | Treino: 0.0556 | Val: 0.0845 | Acurácia: 80.54% | AUC: 0.8952 | F1: 0.7376
Fold 1 | Época 8/1000 | Treino: 0.0521 | Val: 0.0547 | Acurácia: 75.17% | AUC: 0.8975 | F1: 0.7597
Fold 1 | Época 9/1000 | Treino: 0.0522 | Val: 0.0572 | Acurácia: 68.46% | AUC: 0.8995 | F1: 0.7202
Fold 1 | Época 10/1000 | Treino: 0.0486 | Val: 0.0581 | Acurácia: 77.35% | AUC: 0.8931 | F1: 0.7723
Fold 1 | Época 11/1000 | Treino: 0.0466 | Val: 0.0590 | Acurácia: 81.54% | AUC: 0.8995 | F1: 0.7925
Fold 1 | Época 12/1000 | Treino: 0.0443 | Val: 0.0555 | Acurácia: 75.17% | AUC: 0.8957 | F1: 0.7605
Fold 1 | Época 13/1000 | Treino: 0.0436 | Val: 0.0555 | Acurácia: 81.21% | AUC: 0.8975 | F1: 0.7986
