nohup: ignoring input
2025-02-21 17:12:59,727 - INFO - Dataset carregado com 2976 amostras.
2025-02-21 17:12:59,728 - INFO - Super Fold: 2529, Teste: 447
2025-02-21 17:13:10,208 - INFO - Modelo carregado a partir de: /home/thalles.fontainha/3dCnnOtimizada/best_model_fold_2.pth
2025-02-21 17:13:10,208 - INFO - Iniciando treinamento no Super Fold com Early Stopping...
2025-02-21 17:18:46,714 - INFO - Época 1 | Loss: 0.4964 | Acurácia: 59.73% | AUC: 0.9288 | F1: 0.6703
2025-02-21 17:24:30,675 - INFO - Época 2 | Loss: 0.2827 | Acurácia: 85.01% | AUC: 0.9360 | F1: 0.8370
2025-02-21 17:30:15,282 - INFO - Época 3 | Loss: 0.1554 | Acurácia: 67.11% | AUC: 0.8906 | F1: 0.7123
2025-02-21 17:36:01,160 - INFO - Época 4 | Loss: 0.0713 | Acurácia: 88.59% | AUC: 0.9391 | F1: 0.8633
2025-02-21 17:41:43,901 - INFO - Época 5 | Loss: 0.0649 | Acurácia: 87.25% | AUC: 0.9324 | F1: 0.8512
2025-02-21 17:47:26,679 - INFO - Época 6 | Loss: 0.0439 | Acurácia: 83.67% | AUC: 0.9191 | F1: 0.8232
2025-02-21 17:53:13,817 - INFO - Época 7 | Loss: 0.0676 | Acurácia: 88.59% | AUC: 0.9382 | F1: 0.8571
2025-02-21 17:58:56,913 - INFO - Época 8 | Loss: 0.0411 | Acurácia: 79.87% | AUC: 0.9051 | F1: 0.7917
2025-02-21 18:04:40,257 - INFO - Época 9 | Loss: 0.0401 | Acurácia: 69.80% | AUC: 0.9122 | F1: 0.7239
2025-02-21 18:10:22,079 - INFO - Época 10 | Loss: 0.0310 | Acurácia: 85.23% | AUC: 0.9176 | F1: 0.8281
2025-02-21 18:16:01,540 - INFO - Época 11 | Loss: 0.0565 | Acurácia: 85.91% | AUC: 0.9194 | F1: 0.8355
2025-02-21 18:21:43,417 - INFO - Época 12 | Loss: 0.0291 | Acurácia: 87.47% | AUC: 0.9303 | F1: 0.8526
2025-02-21 18:27:24,005 - INFO - Época 13 | Loss: 0.0033 | Acurácia: 87.25% | AUC: 0.9297 | F1: 0.8519
2025-02-21 18:33:03,919 - INFO - Época 14 | Loss: 0.0016 | Acurácia: 86.80% | AUC: 0.9300 | F1: 0.8468
2025-02-21 18:38:49,436 - INFO - Época 15 | Loss: 0.0009 | Acurácia: 87.02% | AUC: 0.9292 | F1: 0.8474
2025-02-21 18:44:31,367 - INFO - Época 16 | Loss: 0.0008 | Acurácia: 87.25% | AUC: 0.9291 | F1: 0.8504
2025-02-21 18:50:15,504 - INFO - Época 17 | Loss: 0.0007 | Acurácia: 86.80% | AUC: 0.9293 | F1: 0.8460
2025-02-21 18:56:01,943 - INFO - Época 18 | Loss: 0.0005 | Acurácia: 87.47% | AUC: 0.9297 | F1: 0.8495
2025-02-21 19:01:44,969 - INFO - Época 19 | Loss: 0.0005 | Acurácia: 86.80% | AUC: 0.9297 | F1: 0.8460
2025-02-21 19:07:26,793 - INFO - Época 20 | Loss: 0.0003 | Acurácia: 87.25% | AUC: 0.9290 | F1: 0.8504
2025-02-21 19:13:11,589 - INFO - Época 21 | Loss: 0.0003 | Acurácia: 86.80% | AUC: 0.9287 | F1: 0.8443
2025-02-21 19:18:58,429 - INFO - Época 22 | Loss: 0.0002 | Acurácia: 87.47% | AUC: 0.9278 | F1: 0.8503
2025-02-21 19:24:47,817 - INFO - Época 23 | Loss: 0.0003 | Acurácia: 87.25% | AUC: 0.9277 | F1: 0.8472
2025-02-21 19:30:34,750 - INFO - Época 24 | Loss: 0.0002 | Acurácia: 87.25% | AUC: 0.9276 | F1: 0.8519
2025-02-21 19:36:25,310 - INFO - Época 25 | Loss: 0.0002 | Acurácia: 87.25% | AUC: 0.9304 | F1: 0.8519
2025-02-21 19:42:09,829 - INFO - Época 26 | Loss: 0.0002 | Acurácia: 87.02% | AUC: 0.9256 | F1: 0.8474
2025-02-21 19:47:53,557 - INFO - Época 27 | Loss: 0.0002 | Acurácia: 86.80% | AUC: 0.9262 | F1: 0.8418
